Num Training Releases,% Training,% Defective In Training,% Defective In Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
14,0.8959961716382198,0.043083496528395944,0.09049079754601227,Naive Bayes Classifier,None,None,54,540,53,5,0.09090909090909091,0.9152542372881356,0.6451253322662703,9.109721534931673E-4
15,0.932748102960869,0.048014037326527356,0.008849557522123894,Naive Bayes Classifier,None,None,4,432,16,0,0.009174311926605505,1.0,0.8018973214285714,6.550933508024903E-4
16,0.9942307692307693,0.04538015176313049,0.07692307692307693,Naive Bayes Classifier,None,None,3,36,0,0,0.07692307692307693,1.0,0.75,0.0
17,0.9164859002169198,0.045562130177514794,0.06818181818181818,Naive Bayes Classifier,None,None,39,555,19,3,0.06565656565656566,0.9285714285714286,0.6520034843205574,-0.0054054054054054074
18,0.9555641922528825,0.047451193058568326,0.05830903790087463,Naive Bayes Classifier,None,None,16,287,36,4,0.052805280528052806,0.8,0.6504643962848298,-0.011594320404585003
19,0.9775835866261399,0.04793367016452908,0.14124293785310735,Naive Bayes Classifier,None,None,21,137,15,4,0.13291139240506328,0.84,0.6526315789473685,-0.01902739781960719
20,0.977953926182809,0.05002532928064843,0.0449438202247191,Naive Bayes Classifier,None,None,7,166,4,1,0.04046242774566474,0.875,0.5441176470588235,-0.009371816638370114
21,0.8677055346587856,0.049913301956898685,0.0016246953696181965,Naive Bayes Classifier,None,None,2,611,618,0,0.0032626427406199023,1.0,0.9991863303498779,0.0032758513304169934
22,0.8755175009409109,0.043524986566362174,0.008314436885865457,Naive Bayes Classifier,None,None,11,352,960,0,0.030303030303030304,1.0,0.9557233924611973,0.043383947939262285
23,0.9124313186813187,0.03914188934888972,0.025490196078431372,Naive Bayes Classifier,None,None,7,190,804,19,0.03553299492385787,0.2692307692307692,0.6771591084971367,0.018580583382439567
24,0.9175988656057981,0.03794642857142857,0.018164435946462717,Naive Bayes Classifier,None,None,17,652,375,2,0.025411061285500747,0.8947368421052632,0.7322297955209348,0.014609075430767497
25,0.897419582891481,0.036316369938553646,0.021364576154376293,Naive Bayes Classifier,None,None,22,746,674,9,0.028645833333333332,0.7096774193548387,0.5671626533393912,0.014597030042285353
26,0.9118158963450009,0.034782608695652174,0.021929824561403508,Naive Bayes Classifier,None,None,25,945,393,5,0.02577319587628866,0.8333333333333334,0.6582959641255606,0.007787448465414638
27,0.9795415798446675,0.03364919744730226,0.006172839506172839,Naive Bayes Classifier,None,None,2,282,40,0,0.007042253521126761,1.0,0.9611801242236024,0.0017480989424001414
28,0.9210235533585345,0.033087074572204334,0.0390279823269514,Naive Bayes Classifier,None,None,47,811,494,6,0.054778554778554776,0.8867924528301887,0.6799971083640569,0.032022614051771495
29,0.9234197948552709,0.033556266356498984,0.016129032258064516,Naive Bayes Classifier,None,None,19,987,416,4,0.018886679920477135,0.8260869565217391,0.7530137283460907,0.005567604311656365
30,0.9671237145528202,0.03222168519413565,0.14533965244865718,Naive Bayes Classifier,None,None,76,398,143,16,0.16033755274261605,0.8260869565217391,0.7094048862814434,0.03320273590543862
31,0.9591033623910337,0.03594058377480004,0.0048721071863581,Naive Bayes Classifier,None,None,4,747,70,0,0.005326231691078562,1.0,0.6984394124847001,9.122794442263228E-4
32,0.993221848406887,0.03466998754669987,0.014598540145985401,Naive Bayes Classifier,None,None,2,132,3,0,0.014925373134328358,1.0,0.8740740740740741,6.631299734748011E-4
33,0.9912216173802167,0.034533940233524636,0.0223463687150838,Naive Bayes Classifier,None,None,4,169,6,0,0.023121387283236993,1.0,0.6,0.001584210700023099
34,0.9971636754853538,0.03442695306752979,0.3103448275862069,Naive Bayes Classifier,None,None,18,34,6,0,0.34615384615384615,1.0,0.73125,0.09872029250457034
1,0.9334905660377358,0.0025265285497726125,0.0425531914893617,IB1 instance-based classifier,None,None,0,0,135,6,NaN,0.0,0.5074074074074074,0.0
2,0.9485458612975392,0.005188679245283019,0.10434782608695652,IB1 instance-based classifier,None,None,0,0,103,12,NaN,0.0,0.5242718446601942,0.0
3,0.9933333333333333,0.01029082774049217,0.13333333333333333,IB1 instance-based classifier,None,None,0,0,13,2,NaN,0.0,0.5,0.0
4,0.843328335832084,0.011111111111111112,0.028708133971291867,IB1 instance-based classifier,None,None,0,14,392,12,0.0,0.0,0.49507389162561577,-0.03190277250284922
5,0.7500702839471465,0.013868065967016492,0.06974128233970754,IB1 instance-based classifier,None,None,2,12,815,60,0.14285714285714285,0.03225806451612903,0.5122869290478606,0.027647809442790196
6,0.86188514659559,0.02783244307000281,0.08070175438596491,IB1 instance-based classifier,None,None,0,19,505,46,0.0,0.0,0.4847743113176236,-0.04951560818084005
7,0.9411630558722919,0.03513448025199903,0.14728682170542637,IB1 instance-based classifier,None,None,3,12,208,35,0.2,0.07894736842105263,0.526854066985646,0.03255146002872219
8,0.9216057166876839,0.04173318129988598,0.04825737265415549,IB1 instance-based classifier,None,None,2,10,345,16,0.16666666666666666,0.1111111111111111,0.5300469483568075,0.09853132552519053
9,0.9806265457543281,0.04224464060529634,0.010638297872340425,IB1 instance-based classifier,None,None,0,1,92,1,0.0,0.0,0.5,-0.010752688172043294
10,0.9849776695087292,0.0416323165704864,0.04054054054054054,IB1 instance-based classifier,None,None,0,7,64,3,0.0,0.0,0.47183098591549294,-0.06017191977077328
11,0.9696850393700788,0.0416159155501421,0.01948051948051948,IB1 instance-based classifier,None,None,0,0,151,3,NaN,0.0,0.5364238410596026,0.0
12,0.9881346041626142,0.04094488188976378,0.01639344262295082,IB1 instance-based classifier,None,None,0,4,56,1,0.0,0.0,0.4666666666666667,-0.026936026936026623
13,0.9152572547623287,0.04065356934448551,0.06932773109243698,IB1 instance-based classifier,None,None,0,11,432,33,0.0,0.0,0.5473014570080033,-0.03590859630032644
14,0.8959961716382198,0.043083496528395944,0.09049079754601227,IB1 instance-based classifier,None,None,3,25,568,56,0.10714285714285714,0.05084745762711865,0.5207648555177637,0.011381505054287169
15,0.932748102960869,0.048014037326527356,0.008849557522123894,IB1 instance-based classifier,None,None,0,24,424,4,0.0,0.0,0.5022321428571429,-0.015404364569961861
16,0.9942307692307693,0.04538015176313049,0.07692307692307693,IB1 instance-based classifier,None,None,0,0,36,3,NaN,0.0,0.5,0.0
17,0.9164859002169198,0.045562130177514794,0.06818181818181818,IB1 instance-based classifier,None,None,2,21,553,40,0.08695652173913043,0.047619047619047616,0.4995437199269952,0.013960323291697802
18,0.9555641922528825,0.047451193058568326,0.05830903790087463,IB1 instance-based classifier,None,None,1,2,321,19,0.3333333333333333,0.05,0.5277863777089783,0.07285364911829122
19,0.9775835866261399,0.04793367016452908,0.14124293785310735,IB1 instance-based classifier,None,None,3,3,149,22,0.5,0.12,0.5588157894736843,0.14690572585309383
20,0.977953926182809,0.05002532928064843,0.0449438202247191,IB1 instance-based classifier,None,None,1,14,156,7,0.06666666666666667,0.125,0.5238970588235294,0.030098598858329578
21,0.8677055346587856,0.049913301956898685,0.0016246953696181965,IB1 instance-based classifier,None,None,0,29,1200,2,0.0,0.0,0.5268510984540277,-0.003049020896305209
22,0.8755175009409109,0.043524986566362174,0.008314436885865457,IB1 instance-based classifier,None,None,1,54,1258,10,0.01818181818181818,0.09090909090909091,0.6031735033259423,0.016676731546430398
23,0.9124313186813187,0.03914188934888972,0.025490196078431372,IB1 instance-based classifier,None,None,3,35,959,23,0.07894736842105263,0.11538461538461539,0.5736728060671723,0.06546189814229722
24,0.9175988656057981,0.03794642857142857,0.018164435946462717,IB1 instance-based classifier,None,None,1,33,994,18,0.029411764705882353,0.05263157894736842,0.5439194383231691,0.014774867949616532
