Num Training Releases,% Training,% Defective In Training,% Defective In Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
3,0.270042194092827,0.015625,0.09248554913294797,RandomForest,Undersampling,Yes,0,0,157,16,NaN,0.0,0.40386146496815284,0.0
4,0.915057915057915,0.07172995780590717,0.13636363636363635,RandomForest,Undersampling,Yes,3,7,12,0,0.3,1.0,0.7368421052631579,0.31858407079646006
5,0.9847908745247148,0.07722007722007722,0.25,RandomForest,Undersampling,Yes,0,0,3,1,NaN,0.0,0.0,0.0
6,0.8945578231292517,0.07984790874524715,0.03225806451612903,RandomForest,Undersampling,Yes,1,16,14,0,0.058823529411764705,1.0,0.6666666666666666,0.0534351145038168
9,0.84251968503937,0.06853582554517133,0.016666666666666666,RandomForest,Undersampling,Yes,1,26,33,0,0.037037037037037035,1.0,0.8135593220338984,0.040590405904059
10,0.8485523385300668,0.06036745406824147,0.16176470588235295,RandomForest,Undersampling,Yes,3,2,55,8,0.6,0.2727272727272727,0.7216905901116427,0.3047034764826174
11,0.8944223107569721,0.0757238307349666,0.03773584905660377,RandomForest,Undersampling,Yes,1,20,31,1,0.047619047619047616,0.5,0.43137254901960786,0.0193832599118943
12,0.8730434782608696,0.07171314741035857,0.0136986301369863,RandomForest,Undersampling,Yes,0,19,53,1,0.0,0.0,0.4791666666666667,-0.0267229254571027
13,0.8730434782608696,0.07171314741035857,0.0136986301369863,RandomForest,Undersampling,Yes,0,19,53,1,0.0,0.0,0.4791666666666667,-0.0267229254571027
14,0.8730434782608696,0.07171314741035857,0.0136986301369863,RandomForest,Undersampling,Yes,0,19,53,1,0.0,0.0,0.4791666666666667,-0.0267229254571027
15,0.9214743589743589,0.06434782608695652,0.10204081632653061,RandomForest,Undersampling,Yes,4,22,22,1,0.15384615384615385,0.8,0.5477272727272727,0.10484511517077051
