@RELATION finalTableAVRO

@ATTRIBUTE releaseindex REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE locthouched REAL
@ATTRIBUTE locadded REAL
@ATTRIBUTE maxlocadded REAL
@ATTRIBUTE averagelocadded REAL
@ATTRIBUTE numrevisions REAL
@ATTRIBUTE numauthors REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE averagechurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE averagechgsetsize REAL
@ATTRIBUTE buggy {No,Yes}

@DATA
5,311,224,96,59,16.0,6,1,80,58,13.333333333333334,51,22,8.5,No
5,176,8,4,2,2.0,2,1,4,2,2.0,36,22,18.0,No
5,182,4,1,1,1.0,1,1,0,0,0.0,22,22,22.0,No
5,371,22,9,7,3.0,3,1,7,7,2.3333333333333335,42,22,14.0,No
5,157,2,1,1,1.0,1,1,1,1,1.0,22,22,22.0,No
5,45,4,1,1,1.0,1,1,0,0,0.0,22,22,22.0,No
5,252,130,32,29,10.666666666666666,3,1,-1,0,-0.3333333333333333,38,22,12.666666666666666,Yes
5,263,66,15,13,5.0,3,1,-3,0,-1.0,38,22,12.666666666666666,Yes
5,422,14,5,2,1.6666666666666667,3,1,3,2,1.0,42,22,14.0,No
5,159,14,4,2,2.0,2,1,1,1,0.5,36,22,18.0,No
5,263,34,13,9,4.333333333333333,3,1,9,9,3.0,44,22,14.666666666666666,No
5,113,14,5,3,2.5,2,1,3,3,1.5,36,22,18.0,No
5,94,40,18,18,18.0,1,1,16,16,16.0,22,22,22.0,No
5,234,590,295,291,98.33333333333333,3,1,295,291,98.33333333333333,44,22,14.666666666666666,No
5,227,18,4,2,1.3333333333333333,3,1,-1,2,-0.3333333333333333,42,22,14.0,No
5,135,2,1,1,1.0,1,1,1,1,1.0,22,22,22.0,No
5,26,66,33,33,33.0,1,1,33,33,33.0,6,6,6.0,No
5,973,40,16,11,5.333333333333333,3,1,12,11,4.0,46,22,15.333333333333334,Yes
5,160,8,4,2,2.0,2,1,4,2,2.0,36,22,18.0,No
5,3,14,7,7,7.0,1,1,7,7,7.0,10,10,10.0,No
5,5,6,1,1,1.0,1,1,-1,0,-1.0,22,22,22.0,No
6,160,10,3,3,3.0,1,1,1,1,1.0,5,5,5.0,No
6,974,6,2,2,2.0,1,1,1,1,1.0,5,5,5.0,Yes
6,264,14,4,4,4.0,1,1,1,1,1.0,5,5,5.0,No
6,5,6,3,3,3.0,1,1,3,3,3.0,5,5,5.0,No
7,618,528,147,76,36.75,4,2,30,17,7.5,56,20,14.0,No
7,179,554,265,253,132.5,2,1,253,253,126.5,33,19,16.5,No
7,372,18,5,5,5.0,1,1,1,1,1.0,14,14,14.0,No
7,39,124,62,62,62.0,1,1,62,62,62.0,20,20,20.0,No
7,272,36,15,13,7.5,2,1,12,11,6.0,39,20,19.5,No
7,117,58,19,14,9.5,2,1,9,5,4.5,39,20,19.5,No
7,218,46,7,7,7.0,1,1,-9,0,-9.0,19,19,19.0,No
