@RELATION finalTableFALCON

@ATTRIBUTE releaseindex REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE locthouched REAL
@ATTRIBUTE locadded REAL
@ATTRIBUTE maxlocadded REAL
@ATTRIBUTE averagelocadded REAL
@ATTRIBUTE numrevisions REAL
@ATTRIBUTE numauthors REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE averagechurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE averagechgsetsize REAL
@ATTRIBUTE buggy {No,Yes}

@DATA
2,71,168,84,84,84.0,1,1,84,84,84.0,17,17,17.0,No
2,201,4,1,1,1.0,1,1,0,0,0.0,164,164,164.0,No
2,302,738,368,367,184.0,2,2,367,367,183.5,213,164,106.5,No
2,198,46,16,16,16.0,1,1,9,9,9.0,164,164,164.0,No
2,421,810,307,207,27.90909090909091,11,4,209,166,19.0,379,164,34.45454545454545,Yes
2,88,32,10,10,10.0,1,1,4,4,4.0,164,164,164.0,No
2,422,200,68,43,22.666666666666668,3,1,36,36,12.0,212,164,70.66666666666667,Yes
2,66,4,1,1,1.0,1,1,0,0,0.0,8,8,8.0,No
2,99,8,2,2,2.0,1,1,0,0,0.0,164,164,164.0,No
2,88,82,37,37,37.0,1,1,33,33,33.0,164,164,164.0,Yes
2,79,4,1,1,1.0,1,1,0,0,0.0,36,36,36.0,No
2,405,420,61,22,7.625,8,3,-88,11,-11.0,357,164,44.625,Yes
2,462,1626,502,367,71.71428571428571,7,3,191,170,27.285714285714285,252,164,36.0,No
2,85,36,10,4,3.3333333333333335,3,1,2,2,0.6666666666666666,212,164,70.66666666666667,No
2,166,4,1,1,1.0,1,1,0,0,0.0,8,8,8.0,No
2,69,172,86,86,86.0,1,1,86,86,86.0,17,17,17.0,No
2,148,354,2,1,0.6666666666666666,3,2,-173,0,-57.666666666666664,90,49,30.0,Yes
2,82,26,13,13,13.0,1,1,13,13,13.0,3,3,3.0,No
2,88,10,4,4,4.0,1,1,3,3,3.0,164,164,164.0,No
2,59,4,0,0,0.0,1,1,-2,0,-2.0,164,164,164.0,No
2,454,306,94,41,18.8,5,3,35,21,7.0,62,33,12.4,Yes
2,193,84,21,13,10.5,2,2,0,7,0.0,9,7,4.5,Yes
2,133,28,11,11,11.0,1,1,8,8,8.0,164,164,164.0,No
2,165,390,195,195,195.0,1,1,195,195,195.0,49,49,49.0,Yes
2,49,120,60,60,60.0,1,1,60,60,60.0,17,17,17.0,No
2,68,6,1,1,1.0,1,1,-1,0,-1.0,33,33,33.0,Yes
2,126,24,12,12,12.0,1,1,12,12,12.0,15,15,15.0,Yes
2,125,30,7,3,1.75,4,2,-1,1,-0.25,245,164,61.25,Yes
2,195,154,50,45,25.0,2,2,23,23,11.5,188,164,94.0,No
3,43,4,1,1,1.0,1,1,0,0,0.0,133,133,133.0,No
3,461,1044,361,143,40.111111111111114,9,3,200,135,22.22222222222222,204,79,22.666666666666668,Yes
3,24,64,32,31,16.0,2,1,32,31,16.0,329,292,164.5,No
3,102,196,89,39,14.833333333333334,6,3,80,39,13.333333333333334,132,81,22.0,No
3,142,542,220,159,110.0,2,1,169,159,84.5,329,292,164.5,No
3,86,210,104,103,52.0,2,2,103,103,51.5,294,292,147.0,No
3,110,504,126,126,63.0,2,1,0,126,0.0,364,292,182.0,No
3,53,44,18,17,9.0,2,2,14,13,7.0,108,81,54.0,No
3,81,24,6,6,6.0,1,1,0,0,0.0,79,79,79.0,No
3,80,196,98,98,98.0,1,1,98,98,98.0,18,18,18.0,No
3,70,166,0,0,0.0,1,1,-83,0,-83.0,81,81,81.0,No
3,112,346,151,133,30.2,5,3,129,133,25.8,432,292,86.4,Yes
3,136,226,79,79,79.0,1,1,45,45,45.0,18,18,18.0,No
3,41,104,51,49,25.5,2,2,50,49,25.0,294,292,147.0,No
3,182,8,2,2,2.0,1,1,0,0,0.0,81,81,81.0,No
3,71,126,59,59,59.0,1,1,55,55,55.0,18,18,18.0,No
3,54,120,60,60,60.0,1,1,60,60,60.0,6,6,6.0,No
3,402,1768,442,442,221.0,2,1,0,442,0.0,364,292,182.0,No
3,1429,3736,1771,1713,354.2,5,2,1674,1713,334.8,451,292,90.2,No
3,85,412,103,103,51.5,2,1,0,103,0.0,21,12,10.5,No
3,56,4,1,1,1.0,1,1,0,0,0.0,133,133,133.0,No
3,15,108,27,27,13.5,2,1,0,27,0.0,364,292,182.0,No
3,32,10,3,3,3.0,1,1,1,1,1.0,79,79,79.0,No
3,168,120,36,14,9.0,4,3,12,9,3.0,239,133,59.75,No
3,159,92,44,36,22.0,2,1,42,36,21.0,50,40,25.0,No
3,111,156,48,25,16.0,3,2,18,25,6.0,129,79,43.0,No
3,222,566,268,141,44.666666666666664,6,3,253,141,42.166666666666664,188,81,31.333333333333332,Yes
3,85,112,56,54,28.0,2,1,56,54,28.0,53,37,26.5,No
3,78,368,92,92,46.0,2,1,0,92,0.0,364,292,182.0,No
3,30,78,39,39,39.0,1,1,39,39,39.0,22,22,22.0,No
3,53,24,6,6,6.0,1,1,0,0,0.0,79,79,79.0,No
3,127,400,171,131,28.5,6,2,142,131,23.666666666666668,403,292,67.16666666666667,Yes
3,44,106,53,53,53.0,1,1,53,53,53.0,27,27,27.0,No
3,57,34,15,14,7.5,2,2,13,13,6.5,26,22,13.0,Yes
3,268,980,390,337,65.0,6,3,290,337,48.333333333333336,418,292,69.66666666666667,Yes
3,776,872,386,152,38.6,10,2,336,151,33.6,261,133,26.1,Yes
3,65,202,93,85,46.5,2,1,85,85,42.5,329,292,164.5,No
3,129,54,13,11,6.5,2,2,-1,0,-0.5,212,133,106.0,No
3,269,1278,465,371,66.42857142857143,7,3,291,371,41.57142857142857,469,292,67.0,Yes
3,186,52,26,26,26.0,1,1,26,26,26.0,4,4,4.0,No
