@RELATION finalTableSYNCOPE

@ATTRIBUTE releaseindex REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE locthouched REAL
@ATTRIBUTE locadded REAL
@ATTRIBUTE maxlocadded REAL
@ATTRIBUTE averagelocadded REAL
@ATTRIBUTE numrevisions REAL
@ATTRIBUTE numauthors REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE averagechurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE averagechgsetsize REAL
@ATTRIBUTE buggy {No,Yes}

@DATA
16,100,4,0,0,0.0,2,1,-2,0,-1.0,4,3,2.0,No
16,44,16,4,4,4.0,1,1,0,0,0.0,58,58,58.0,No
16,174,414,133,104,33.25,4,1,59,47,14.75,321,218,80.25,No
16,36,96,48,48,48.0,1,1,48,48,48.0,218,218,218.0,No
16,21,0,0,0,0.0,1,1,0,0,0.0,8,8,8.0,No
16,172,116,28,8,5.6,5,1,-2,1,-0.4,142,38,28.4,No
16,79,12,3,2,1.5,2,1,0,0,0.0,4,2,2.0,No
16,60,48,14,14,14.0,1,1,4,4,4.0,58,58,58.0,No
16,63,24,7,3,2.3333333333333335,3,2,2,2,0.6666666666666666,316,218,105.33333333333333,No
16,82,70,5,3,2.5,2,1,-25,0,-12.5,28,14,14.0,No
16,496,368,92,26,15.333333333333334,6,1,0,3,0.0,380,218,63.333333333333336,No
16,75,24,6,6,6.0,1,1,0,0,0.0,218,218,218.0,No
16,489,1188,456,364,228.0,2,2,318,318,159.0,42,40,21.0,No
16,22,14,3,2,1.5,2,1,-1,0,-0.5,271,218,135.5,No
16,346,80,17,10,8.5,2,1,-6,0,-3.0,276,218,138.0,No
16,47,138,5,4,1.6666666666666667,3,2,-59,0,-19.666666666666668,311,218,103.66666666666667,No
16,26,68,34,34,34.0,1,1,34,34,34.0,42,42,42.0,No
16,22,64,31,30,15.5,2,1,30,30,15.0,271,218,135.5,No
16,227,438,189,137,37.8,5,1,159,118,31.8,307,218,61.4,No
16,114,28,13,13,13.0,1,1,12,12,12.0,42,42,42.0,No
16,38,48,13,8,6.5,2,1,2,2,1.0,25,15,12.5,No
16,488,38,10,7,5.0,2,1,1,1,0.5,72,39,36.0,No
16,155,214,49,49,49.0,1,1,-9,0,-9.0,58,58,58.0,No
16,84,68,20,10,6.666666666666667,3,1,6,8,2.0,262,218,87.33333333333333,No
16,133,6,2,2,2.0,1,1,1,1,1.0,218,218,218.0,No
16,64,190,88,81,44.0,2,2,81,81,40.5,93,53,46.5,No
16,215,68,28,26,9.333333333333334,3,1,22,23,7.333333333333333,261,218,87.0,No
16,1746,1124,411,171,58.714285714285715,7,2,260,141,37.142857142857146,381,218,54.42857142857143,No
16,191,494,170,67,21.25,8,2,93,64,11.625,424,218,53.0,No
16,45,2,1,1,1.0,1,1,1,1,1.0,42,42,42.0,No
16,219,18,6,5,3.0,2,1,3,3,1.5,276,218,138.0,No
16,357,220,76,28,19.0,4,2,42,21,10.5,233,218,58.25,No
16,128,4,1,1,1.0,1,1,0,0,0.0,218,218,218.0,No
16,66,136,6,4,3.0,2,1,-56,0,-28.0,240,218,120.0,No
16,17,4,2,2,2.0,1,1,2,2,2.0,40,40,40.0,No
16,214,62,0,0,0.0,1,1,-31,0,-31.0,218,218,218.0,No
16,1440,342,104,12,2.810810810810811,37,2,37,10,1.0,399,218,10.783783783783784,No
16,104,56,20,13,10.0,2,2,12,12,6.0,258,218,129.0,No
16,39,20,6,3,3.0,2,1,2,1,1.0,25,15,12.5,No
16,113,12,3,2,1.5,2,1,0,0,0.0,233,218,116.5,No
16,44,40,13,11,6.5,2,1,6,6,3.0,271,218,135.5,No
16,151,32,6,5,3.0,2,1,-4,0,-2.0,256,218,128.0,No
16,103,20,5,5,5.0,1,1,0,0,0.0,218,218,218.0,No
16,33,0,0,0,0.0,1,1,0,0,0.0,58,58,58.0,No
16,172,12,3,3,3.0,1,1,0,0,0.0,58,58,58.0,No
16,114,342,85,53,17.0,5,2,-1,48,-0.2,56,38,11.2,No
16,51,138,69,69,69.0,1,1,69,69,69.0,24,24,24.0,No
16,21,0,0,0,0.0,1,1,0,0,0.0,8,8,8.0,No
16,703,360,153,69,21.857142857142858,7,1,126,61,18.0,254,218,36.285714285714285,No
16,22,20,5,3,2.5,2,1,0,2,0.0,271,218,135.5,No
16,205,12,4,3,2.0,2,1,2,2,1.0,276,218,138.0,No
