Release Index,File,LOC,LOC Thouched,LOC Added,MAX LOC Added,AVERAGE LOC Added,Num Revisions,Num Authors,Churn,MAX Churn,AVERAGE Churn,ChgSet Size,MAX ChgSetSize,AVERAGE ChgSetSize,Buggy,Num Bugs
1,common/src/main/java/org/apache/ivory/entity/v0/InputsType.java,62,4,1,1,1.0,1,1,0,0,0.0,55,55,55.0,No,0
1,client/src/main/java/org/apache/falcon/resource/InstancesResult.java,159,506,134,114,19.142857142857142,7,2,15,13,2.142857142857143,852,289,121.71428571428571,No,0
1,common/src/test/java/org/apache/ivory/entity/FeedHelperTest.java,43,136,68,32,22.666666666666668,3,2,68,32,22.666666666666668,47,20,15.666666666666666,No,0
1,prism/src/test/java/org/apache/ivory/service/IvoryTopicSubscriberTest.java,98,4,1,1,1.0,1,1,0,0,0.0,24,24,24.0,No,0
1,common/src/main/java/org/apache/ivory/entity/v0/process/Inputs.java,62,40,10,10,10.0,1,1,0,0,0.0,35,35,35.0,No,0
1,common/src/main/java/org/apache/ivory/entity/v0/EntityIntegrityChecker.java,45,638,172,89,24.571428571428573,7,4,25,89,3.5714285714285716,189,95,27.0,No,0
1,common/src/main/java/org/apache/ivory/entity/v0/PropertiesType.java,62,4,1,1,1.0,1,1,0,0,0.0,55,55,55.0,No,0
1,common/src/main/java/org/apache/ivory/transaction/TransactionManager.java,52,728,220,80,22.0,10,3,76,80,7.6,236,80,23.6,No,0
1,oozie/src/main/java/org/apache/ivory/oozie/workflow/MKDIR.java,53,260,65,65,32.5,2,1,0,65,0.0,118,66,59.0,No,0
1,webapp/src/test/java/org/apache/falcon/logging/LogProviderIT.java,142,86,26,26,26.0,1,1,9,9,9.0,80,80,80.0,No,0
1,webapp/src/main/java/org/apache/ivory/IvoryWebException.java,45,222,93,31,8.454545454545455,11,5,75,31,6.818181818181818,64,22,5.818181818181818,No,0
1,client/src/main/java/org/apache/falcon/client/FalconClient.java,558,3246,814,638,116.28571428571429,7,2,5,9,0.7142857142857143,852,289,121.71428571428571,Yes,3
1,replication/src/test/java/org/apache/ivory/replication/FilteredCopyListingTest.java,174,824,412,206,206.0,2,2,412,206,206.0,16,8,8.0,No,0
1,common/src/test/java/org/apache/ivory/entity/ColoClusterRelationTest.java,62,178,89,53,29.666666666666668,3,2,89,53,29.666666666666668,75,35,25.0,No,0
1,client/src/main/java/org/apache/ivory/entity/v0/process/Workflow.java,79,186,0,0,0.0,3,2,-93,0,-31.0,319,140,106.33333333333333,No,0
